,X,Y
Overall,-41.58561592,374.3997866
,-54.66995923,374.0514975
,-27.44608363,374.3997866
Ecosystems,,
Grassland,-27.44608363,324.7686006
,-3.176737172,324.4203116
,-49.81608994,324.4203116
Forest,-44.75118285,299.3435019
,-28.50127261,299.3435019
,-57.83552616,299.3435019
Farmland,-39.68627576,274.7891257
,65.4105463,274.7891257
,-78.93930569,274.3537644
Desert,-59.73486632,249.3640269
,-4.231926149,249.3640269
,-83.1600616,249.3640269
Method,,
Mesh bag,-36.52070883,199.732841
,-19.42664741,199.2974797
,-50.66024112,199.2974797
Pesticide,-57.83552616,174.3077422
,-41.58561592,173.8723809
,-69.86468049,174.3077422
Eye pick,-24.4915545,150.101655
,-57.83552616,149.6662938
,37.13148173,150.101655
Aridity Index,,
Humid,-27.44608363,99.59974654
,-6.342304102,99.25145752
,-41.58561592,98.81609624
Dry sub-humid,-61.84524427,74.61000906
,10.96279511,74.61000906
,-86.11459073,74.61000906
Semi-Arid,-58.89071513,49.62027159
,-40.53042694,49.18491031
,-73.8743986,49.18491031
Arid,-59.73486632,24.54346185
,-34.62136867,24.54346185
,-74.92958758,24.19517283
