,X,Y
Substrate,,
Woody litter,-54.25556,359.68362
,-43.29665,359.68362
,-25.15158,359.68362
Root,-72.40063,319.85733
,-15.62991,320.55451
,174.98316,319.85733
Leaf,-55.69279,279.59531
,-32.33775,279.59531
,6.10824,279.59531
Grass,-63.59757,240.11761
,-44.01527,240.11761
,-11.31821,239.76902
Straw,-65.21446,200.20418
,-24.43297,199.85559
,72.40063,200.20418
Dung,-71.68201,159.68071
,-52.81832,159.68071
,-14.19268,160.0293
Environment,,
Surface,-52.81832,80.28958
,-43.29665,80.28958
,-29.46328,80.28958
Buried,-52.09971,40.02756
,-21.5585,40.02756
,30.1819,40.72474
